Nome da instancia,fluxo,tempo(ns),vertices,arcos,caminhos
BVZ-tsukuba0.max,34669,961043568300,110594,514483,
BVZ-tsukuba1.max,264801,523798389900,110594,526213,
BVZ-tsukuba10.max,236298,1162658567900,110594,516529,
BVZ-tsukuba11.max,42705,989533999200,110594,510446,
BVZ-tsukuba12.max,38887,1067086967400,110594,510816,
BVZ-tsukuba13.max,0,241878100,110594,551616,
BVZ-tsukuba14.max,50599,885353743600,110594,515315,
BVZ-tsukuba15.max,33349,935270133800,110594,518994,
BVZ-tsukuba2.max,41538,1113862965300,110594,508272,
BVZ-tsukuba3.max,35379,1225572770200,110594,506721,
BVZ-tsukuba4.max,48947,1537485418300,110594,496135,
BVZ-tsukuba5.max,74372,453165861000,110594,501390,
BVZ-tsukuba6.max,187576,286708617400,110594,512938,
BVZ-tsukuba7.max,41095,1355601986300,110594,502599,
BVZ-tsukuba8.max,54458,1050579729200,110594,503938,
BVZ-tsukuba9.max,298716,132753749100,110594,519074,
