Nome da instancia,fluxo,tempo(ns),vertices,arcos,caminhos
BVZ-tsukuba0.max,34669,2254911706700,110594,514483,
BVZ-tsukuba1.max,264801,1172201454200,110594,526213,
BVZ-tsukuba10.max,236298,2667626004000,110594,516529,
BVZ-tsukuba11.max,42705,2291984167300,110594,510446,
BVZ-tsukuba12.max,38887,2503726190600,110594,510816,
BVZ-tsukuba13.max,0,157926800,110594,551616,
BVZ-tsukuba14.max,50599,2140115349700,110594,515315,
BVZ-tsukuba15.max,33349,2130658870700,110594,518994,
BVZ-tsukuba2.max,41538,2684443174400,110594,508272,
BVZ-tsukuba3.max,35379,2894441754200,110594,506721,
BVZ-tsukuba4.max,48947,3669735832900,110594,496135,
BVZ-tsukuba5.max,74372,1037263703600,110594,501390,
BVZ-tsukuba6.max,187576,637227088000,110594,512938,
BVZ-tsukuba7.max,41095,3242923409800,110594,502599,
BVZ-tsukuba8.max,54458,2555536343000,110594,503938,
BVZ-tsukuba9.max,298716,285118699000,110594,519074,
